epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,518.347,1.07522,0.86746,2.07147,0.72542,0.78533,0.7839,0.56647,1.16021,1.0314,2.6781,0.000618034,0.000618034,0.000618034
66,526.362,1.0671,0.85475,2.06874,0.72061,0.76025,0.76489,0.54135,1.16822,1.04094,2.65684,0.000607916,0.000607916,0.000607916
67,534.496,1.07626,0.867,2.10162,0.75394,0.77902,0.76896,0.54418,1.17493,1.03907,2.60806,0.000597754,0.000597754,0.000597754
68,542.841,1.07695,0.85838,2.07405,0.73623,0.7693,0.74906,0.53832,1.16456,1.03027,2.54341,0.000587551,0.000587551,0.000587551
69,551.198,1.07026,0.85515,2.06781,0.77339,0.71454,0.73373,0.50762,1.19675,1.05594,2.52144,0.000577311,0.000577311,0.000577311
70,559.656,1.06756,0.85208,2.05605,0.74845,0.74136,0.75962,0.55038,1.15642,1.00789,2.66234,0.00056704,0.00056704,0.00056704
71,567.996,1.06384,0.85596,2.0522,0.75611,0.73094,0.73402,0.52978,1.15476,1.01209,2.57959,0.000556742,0.000556742,0.000556742
72,576.023,1.0555,0.83246,2.06311,0.75229,0.76056,0.76185,0.54517,1.15496,1.00343,2.669,0.000546421,0.000546421,0.000546421
73,584.056,1.05409,0.83371,2.06285,0.70313,0.75237,0.75074,0.54244,1.17731,1.00911,2.78899,0.000536081,0.000536081,0.000536081
74,592.123,1.06074,0.84784,2.04694,0.77222,0.72077,0.74058,0.52621,1.16301,1.01303,2.65869,0.000525728,0.000525728,0.000525728
75,600.191,1.04647,0.81887,2.04396,0.76504,0.73072,0.73543,0.52254,1.16172,1.01557,2.57277,0.000515366,0.000515366,0.000515366
76,608.18,1.0523,0.82355,2.05429,0.77707,0.72697,0.74824,0.53278,1.16715,1.02168,2.65362,0.000505,0.000505,0.000505
77,616.117,1.03224,0.80139,2.02758,0.77458,0.72222,0.74674,0.53118,1.16634,1.05399,2.75094,0.000494634,0.000494634,0.000494634
78,624.116,1.04299,0.8139,2.02266,0.71254,0.78975,0.7473,0.52665,1.16141,1.01363,2.62472,0.000484272,0.000484272,0.000484272
79,632.096,1.04741,0.82419,2.07099,0.72813,0.73272,0.73825,0.52689,1.15308,1.02575,2.71069,0.000473919,0.000473919,0.000473919
80,640.071,1.02673,0.80591,2.03093,0.78952,0.74148,0.78006,0.57225,1.1644,1.0208,2.50849,0.000463579,0.000463579,0.000463579
81,648.026,1.0336,0.81337,2.0413,0.78544,0.77379,0.75873,0.55498,1.1533,1.02121,2.88564,0.000453258,0.000453258,0.000453258
82,655.969,1.03187,0.80659,2.02308,0.85103,0.71991,0.80185,0.59157,1.15637,1.04095,2.78229,0.00044296,0.00044296,0.00044296
83,663.988,1.00994,0.78596,2.01764,0.72064,0.78081,0.77125,0.5606,1.16866,1.02088,2.86055,0.000432689,0.000432689,0.000432689
84,671.992,1.02144,0.78743,2.0189,0.78165,0.73057,0.7495,0.53747,1.16418,1.0346,2.70326,0.000422449,0.000422449,0.000422449
85,680.022,1.01493,0.79745,2.01837,0.75348,0.70434,0.73616,0.53409,1.16456,1.02891,2.56725,0.000412246,0.000412246,0.000412246
86,688.039,1.01997,0.79192,2.0044,0.78112,0.73733,0.77131,0.57127,1.1627,1.00268,2.80855,0.000402084,0.000402084,0.000402084
87,696.1,1.02583,0.79797,2.0126,0.72039,0.78965,0.76239,0.54834,1.14675,1.01546,2.56876,0.000391966,0.000391966,0.000391966
88,704.136,1.01692,0.79651,2.0187,0.78539,0.75764,0.78775,0.5653,1.15143,1.02191,2.67594,0.000381899,0.000381899,0.000381899
89,712.15,1.01535,0.79609,2.00998,0.78651,0.7104,0.76577,0.56041,1.14198,1.03305,2.76912,0.000371885,0.000371885,0.000371885
90,720.207,1.00221,0.78405,2.00077,0.77887,0.70888,0.74856,0.53849,1.18803,1.03128,2.69151,0.000361929,0.000361929,0.000361929
91,728.255,0.99903,0.77238,1.99223,0.74732,0.75158,0.77837,0.56229,1.16992,1.00814,2.58721,0.000352037,0.000352037,0.000352037
92,736.297,1.0115,0.77504,2.00421,0.74667,0.77822,0.7835,0.57302,1.14277,1.0283,2.52026,0.000342211,0.000342211,0.000342211
93,744.301,0.99033,0.77436,1.99684,0.75371,0.76608,0.75961,0.55467,1.17098,1.05329,2.56912,0.000332457,0.000332457,0.000332457
94,752.332,0.99056,0.76859,2.00887,0.75838,0.73771,0.75795,0.53734,1.16879,1.03189,2.69231,0.000322778,0.000322778,0.000322778
95,760.28,1,0.76939,1.99818,0.79063,0.72621,0.76079,0.55672,1.16215,1.03253,2.77021,0.00031318,0.00031318,0.00031318
96,768.261,0.98498,0.76229,1.98362,0.76271,0.76036,0.77008,0.56153,1.1686,1.06216,2.83392,0.000303665,0.000303665,0.000303665
97,776.222,0.98866,0.75747,1.99578,0.76533,0.73943,0.74714,0.55178,1.16769,1.00226,2.723,0.000294239,0.000294239,0.000294239
98,784.188,0.98646,0.7576,1.98451,0.76035,0.77694,0.77725,0.56222,1.17317,1.02743,2.52385,0.000284906,0.000284906,0.000284906
99,792.171,0.9855,0.75586,1.99641,0.78266,0.74141,0.74458,0.53695,1.16765,1.04321,2.60803,0.000275668,0.000275668,0.000275668
100,800.134,0.98116,0.75165,1.99393,0.79617,0.74199,0.77988,0.57116,1.16445,1.02373,2.82767,0.000266532,0.000266532,0.000266532
101,808.088,0.98854,0.75604,1.97942,0.78519,0.73539,0.7503,0.53089,1.17689,1.04837,2.64838,0.0002575,0.0002575,0.0002575
102,816.067,0.97698,0.74528,1.97466,0.79464,0.76437,0.75484,0.53869,1.16842,1.02761,2.56897,0.000248577,0.000248577,0.000248577
103,824.064,0.96789,0.7433,1.97288,0.74435,0.79837,0.75704,0.54358,1.15972,1.02376,2.67976,0.000239766,0.000239766,0.000239766
104,832.083,0.98102,0.75102,1.98938,0.76597,0.77372,0.78361,0.567,1.15129,1.00488,2.67256,0.000231071,0.000231071,0.000231071
105,840.025,0.97659,0.75117,1.99058,0.8052,0.75506,0.76678,0.55902,1.16053,1.04671,2.62952,0.000222497,0.000222497,0.000222497
106,848.04,0.97117,0.74522,1.98744,0.74629,0.79694,0.78379,0.55986,1.15936,1.0308,2.69514,0.000214046,0.000214046,0.000214046
107,856.018,0.99727,0.76106,2.00122,0.81032,0.74744,0.77978,0.56751,1.16033,1.02957,2.72957,0.000205723,0.000205723,0.000205723
108,864.006,0.98008,0.74905,1.98442,0.75435,0.74704,0.77777,0.55893,1.17113,1.01855,2.71921,0.000197532,0.000197532,0.000197532
109,872.002,0.97171,0.74572,1.97616,0.80093,0.72228,0.77144,0.55977,1.16034,1.02559,2.67701,0.000189475,0.000189475,0.000189475
110,879.971,0.96965,0.74291,1.96776,0.72457,0.77261,0.77947,0.56849,1.1634,1.02166,2.85583,0.000181557,0.000181557,0.000181557
111,887.889,0.97828,0.7463,1.98254,0.79306,0.7174,0.75031,0.54824,1.16405,1.03826,2.65057,0.00017378,0.00017378,0.00017378
112,895.816,0.96964,0.74686,1.97621,0.72233,0.78081,0.75366,0.54766,1.16425,1.02871,2.57781,0.000166149,0.000166149,0.000166149
113,903.748,0.95935,0.7215,1.95228,0.7879,0.71025,0.74907,0.54186,1.16058,1.03348,2.69083,0.000158667,0.000158667,0.000158667
114,911.698,0.9617,0.73484,1.97535,0.78257,0.71344,0.74969,0.53803,1.1842,1.04731,2.80665,0.000151336,0.000151336,0.000151336
115,919.635,0.97348,0.74587,1.98388,0.76553,0.73736,0.7484,0.53824,1.16542,1.03347,2.64295,0.000144161,0.000144161,0.000144161
116,927.647,0.95446,0.7203,1.95597,0.75653,0.75327,0.74903,0.54215,1.16097,1.04302,2.64667,0.000137143,0.000137143,0.000137143
117,935.601,0.95482,0.72343,1.95384,0.74242,0.77903,0.75659,0.54694,1.15111,1.0245,2.63602,0.000130287,0.000130287,0.000130287
118,943.544,0.95826,0.7326,1.95174,0.74616,0.77983,0.76437,0.55556,1.15873,1.01667,2.76066,0.000123596,0.000123596,0.000123596
119,951.495,0.959,0.72331,1.94267,0.76639,0.78508,0.77616,0.56249,1.16661,1.02689,2.60426,0.000117072,0.000117072,0.000117072
120,959.532,0.94782,0.72008,1.95361,0.76482,0.77755,0.76345,0.55208,1.16352,1.02688,2.75125,0.000110718,0.000110718,0.000110718
121,967.46,0.94761,0.72451,1.95628,0.74586,0.79182,0.7711,0.55733,1.16159,1.0221,2.77785,0.000104537,0.000104537,0.000104537
122,975.368,0.95631,0.71712,1.96609,0.76378,0.77949,0.76031,0.55082,1.16408,1.01777,2.73135,9.85311e-05,9.85311e-05,9.85311e-05
123,983.3,0.95399,0.72217,1.95606,0.75123,0.7914,0.76035,0.54683,1.14937,1.00706,2.69753,9.2704e-05,9.2704e-05,9.2704e-05
124,991.297,0.95645,0.72193,1.95949,0.76468,0.77243,0.75473,0.54351,1.1584,1.01823,2.69842,8.70577e-05,8.70577e-05,8.70577e-05
125,999.303,0.95271,0.7197,1.95518,0.76194,0.77339,0.7676,0.55161,1.1558,1.00788,2.66505,8.15947e-05,8.15947e-05,8.15947e-05
126,1007.19,0.95607,0.72602,1.96367,0.76835,0.75317,0.763,0.55043,1.15839,1.02299,2.59439,7.63174e-05,7.63174e-05,7.63174e-05
127,1015.17,0.93803,0.7033,1.94727,0.76175,0.7574,0.75093,0.54494,1.15282,1.03623,2.66395,7.12282e-05,7.12282e-05,7.12282e-05
128,1023.12,0.94904,0.7222,1.95944,0.75007,0.76684,0.76743,0.55781,1.1609,1.03376,2.67619,6.63292e-05,6.63292e-05,6.63292e-05
129,1031.09,0.94377,0.71225,1.94095,0.79837,0.72909,0.75668,0.54998,1.15805,1.01821,2.77439,6.16227e-05,6.16227e-05,6.16227e-05
130,1039.1,0.96297,0.72716,1.97643,0.7488,0.77492,0.76595,0.55941,1.15822,1.02106,2.73639,5.71106e-05,5.71106e-05,5.71106e-05
131,1047.09,0.93455,0.71004,1.94795,0.75735,0.76668,0.75874,0.55697,1.16093,1.02287,2.74605,5.2795e-05,5.2795e-05,5.2795e-05
132,1055.01,0.94386,0.71161,1.95607,0.76405,0.74349,0.76482,0.5626,1.15704,1.01847,2.71044,4.86777e-05,4.86777e-05,4.86777e-05
133,1062.95,0.94033,0.7077,1.95256,0.73816,0.77651,0.76794,0.56061,1.15641,1.01304,2.71481,4.47606e-05,4.47606e-05,4.47606e-05
134,1070.99,0.94854,0.70267,1.94085,0.77922,0.76252,0.77207,0.55945,1.15627,1.0132,2.72962,4.10454e-05,4.10454e-05,4.10454e-05
135,1078.93,0.93842,0.70021,1.92082,0.78098,0.75365,0.76427,0.55605,1.15581,1.02709,2.72626,3.75337e-05,3.75337e-05,3.75337e-05
136,1086.93,0.9466,0.71177,1.94686,0.78004,0.75515,0.76718,0.56129,1.15741,1.01747,2.66164,3.4227e-05,3.4227e-05,3.4227e-05
137,1095.08,0.9376,0.71131,1.94119,0.77051,0.76525,0.76799,0.56118,1.15438,1.02095,2.71699,3.11268e-05,3.11268e-05,3.11268e-05
138,1103.49,0.94344,0.70752,1.94707,0.76329,0.7615,0.76724,0.55794,1.15496,1.01503,2.72859,2.82345e-05,2.82345e-05,2.82345e-05
139,1111.91,0.9392,0.70516,1.93837,0.76077,0.76748,0.75474,0.54726,1.15686,1.01723,2.74446,2.55513e-05,2.55513e-05,2.55513e-05
